,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
955,2,3,8,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
956,2,3,8,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3
957,2,3,8,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3
958,2,3,8,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3
959,2,3,8,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
960,2,3,8,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
961,2,3,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
962,2,3,3,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
963,2,3,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
964,2,3,3,8,6,16,28,18,18,16,19,21,20,32,12,10,13,207,3
965,2,3,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
966,2,3,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
967,2,3,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3
968,2,3,3,9,6,6,8,6,5,5,5,6,6,3,3,7,3,57,3
969,2,3,2,6,8,1,0,2,0,2,0,1,1,1,1,1,2,11,3
970,2,3,2,6,9,0,0,0,0,0,0,1,1,0,0,0,1,3,3
971,2,3,2,6,10,1,0,0,1,0,1,3,0,0,0,0,0,5,3
972,2,3,2,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3
973,2,3,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
974,2,3,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
975,2,3,2,7,10,0,1,1,3,2,4,4,0,1,5,2,1,24,3
976,2,3,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
977,2,3,0,0,0,1,2,2,5,0,1,1,2,2,2,2,0,19,3
978,2,3,0,1,1,36,29,18,19,17,29,25,37,33,18,15,9,249,3
979,2,3,0,2,2,1,3,1,1,0,1,0,1,0,2,0,3,12,3
980,2,3,0,3,3,3,1,6,8,2,2,3,6,7,7,6,3,51,3
