,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster_km,Cluster_birch
220,5,3,1,1,1,1,1,2,1,1,1,1,1,0
221,1,2,1,1,1,1,1,5,1,1,1,1,1,0
222,2,3,1,1,1,1,1,3,1,1,1,1,1,0
223,3,2,1,1,1,1,1,6,1,1,1,1,1,0
224,4,2,1,1,1,1,1,8,1,1,1,1,1,0
225,1,2,1,1,1,1,1,4,1,1,1,1,1,0
226,3,3,1,1,1,1,1,2,1,1,1,1,1,0
227,4,2,1,1,1,1,1,5,1,1,1,1,1,0
228,5,3,1,1,1,1,1,3,1,1,1,1,1,0
229,1,3,1,1,1,1,1,2,1,1,1,1,1,0
230,2,3,1,1,1,1,1,7,1,1,1,1,1,0
231,3,3,1,1,1,1,1,3,1,1,1,1,1,0
232,4,2,1,1,1,1,1,4,1,1,1,1,1,0
233,5,2,1,1,1,1,1,2,1,1,1,1,1,0
234,1,3,1,1,1,1,1,2,1,1,1,1,1,0
235,2,3,1,1,1,1,1,4,1,1,1,1,1,0
236,3,3,1,1,1,1,1,6,1,1,1,1,1,0
237,4,3,1,1,1,1,1,2,1,1,1,1,1,0
238,5,3,1,1,1,1,1,2,1,1,1,1,1,0
239,1,3,1,1,1,1,1,4,1,1,1,1,1,0
240,2,3,1,1,1,1,1,4,1,1,1,1,1,0
241,3,3,1,1,1,1,1,5,1,1,1,1,1,0
242,4,3,1,1,1,1,1,5,1,1,1,1,1,0
243,1,3,1,1,1,1,1,4,1,1,1,1,1,0
244,2,3,1,1,1,1,1,2,1,1,1,1,1,0
245,3,3,1,1,1,1,1,2,1,1,1,1,1,0
246,4,3,1,1,1,1,1,5,1,1,1,1,1,0
247,5,3,1,1,1,1,1,6,1,1,1,1,1,0
248,1,3,1,1,1,1,1,4,1,1,1,1,1,0
249,2,3,1,1,1,1,1,4,1,1,1,1,1,0
250,3,3,1,1,1,1,1,2,1,1,1,1,1,0
251,4,3,1,1,1,1,1,1,1,1,1,1,1,0
252,5,3,1,1,1,1,1,3,1,1,1,1,1,0
253,1,3,1,1,1,1,1,5,1,1,1,1,1,0
254,2,2,1,1,1,1,1,3,1,1,1,1,1,0
255,3,3,1,1,1,1,2,1,1,1,1,1,1,0
256,4,3,1,1,1,1,2,3,1,1,1,1,1,0
257,5,3,1,1,1,1,1,6,1,1,1,1,1,0
258,1,3,1,1,1,1,1,8,1,1,1,1,1,0
259,2,3,1,1,1,1,1,5,1,1,1,1,1,0
260,3,3,1,1,1,1,1,2,1,1,1,1,1,0
261,4,3,1,1,1,1,1,1,1,1,1,1,1,0
262,5,3,1,1,1,1,1,7,1,1,1,1,1,0
263,1,3,1,1,1,1,1,3,1,1,1,1,1,0
264,2,3,1,1,1,1,1,3,1,1,1,1,1,0
265,3,3,1,1,1,1,1,1,1,1,1,1,1,0
266,4,3,1,1,1,1,1,3,1,1,1,1,1,0
267,5,2,1,1,1,1,1,5,1,1,1,1,1,0
268,1,3,1,1,1,1,1,4,1,1,1,1,1,0
269,2,3,1,1,1,1,1,5,1,1,1,1,1,0
270,3,3,1,1,1,1,1,4,1,1,1,1,1,0
271,4,3,1,1,1,1,1,2,1,1,1,1,1,0
272,5,3,1,1,1,1,1,5,1,1,1,1,1,0
273,1,2,1,1,1,1,1,7,2,2,1,1,1,0
